Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1980-12-12 00:00:00-05:00,0.09919209778308868,0.09962334383984231,0.09919209778308868,0.09919209778308868,469033600,0.0,0.0
1980-12-15 00:00:00-05:00,0.09444843132690758,0.09444843132690758,0.09401718527078629,0.09401718527078629,175884800,0.0,0.0
1980-12-16 00:00:00-05:00,0.0875477499087818,0.0875477499087818,0.08711650967597961,0.08711650967597961,105728000,0.0,0.0
1980-12-17 00:00:00-05:00,0.08927270025014877,0.08970394613424901,0.08927270025014877,0.08927270025014877,86441600,0.0,0.0
1980-12-18 00:00:00-05:00,0.09186093509197235,0.09229217521550243,0.09186093509197235,0.09186093509197235,73449600,0.0,0.0
1980-12-19 00:00:00-05:00,0.09746713191270828,0.09789837799972773,0.09746713191270828,0.09746713191270828,48630400,0.0,0.0
1980-12-22 00:00:00-05:00,0.10221078991889954,0.10264280747988119,0.10221078991889954,0.10221078991889954,37363200,0.0,0.0
1980-12-23 00:00:00-05:00,0.10652400553226471,0.10695525158604519,0.10652400553226471,0.10652400553226471,46950400,0.0,0.0
1980-12-24 00:00:00-05:00,0.11213018000125885,0.11256142609472314,0.11213018000125885,0.11213018000125885,48003200,0.0,0.0
1980-12-26 00:00:00-05:00,0.12248080968856812,0.12291205585582288,0.12248080968856812,0.12248080968856812,55574400,0.0,0.0
1980-12-29 00:00:00-05:00,0.12420576065778732,0.12463700674801986,0.12420576065778732,0.12420576065778732,93161600,0.0,0.0
1980-12-30 00:00:00-05:00,0.12161821339748048,0.12161821339748048,0.12118697911500931,0.12118697911500931,68880000,0.0,0.0
1980-12-31 00:00:00-05:00,0.1181683530383947,0.1181683530383947,0.11773710697889328,0.11773710697889328,35750400,0.0,0.0
1981-01-02 00:00:00-05:00,0.11903081089258194,0.1198933028467491,0.11903081089258194,0.11903081089258194,21660800,0.0,0.0
1981-01-05 00:00:00-05:00,0.1168745853455712,0.1168745853455712,0.11644335091114044,0.11644335091114044,35728000,0.0,0.0
1981-01-06 00:00:00-05:00,0.11169889457891855,0.11169889457891855,0.11126764863729477,0.11126764863729477,45158400,0.0,0.0
1981-01-07 00:00:00-05:00,0.10695525158604519,0.10695525158604519,0.10652400553226471,0.10652400553226471,55686400,0.0,0.0
1981-01-08 00:00:00-05:00,0.1047990271204556,0.1047990271204556,0.10436779260635376,0.10436779260635376,39827200,0.0,0.0
1981-01-09 00:00:00-05:00,0.10997393727302551,0.11040518327325159,0.10997393727302551,0.10997393727302551,21504000,0.0,0.0
